id,claim,status,evidence,where_used
C-CSPO,Certified Scrum Product Owner,DOC,Scrum Alliance certification,Experience
C-PRD,Requirement documents from stakeholder interviews; resource-allocation time -50%,STATED,Self-reported; labeled as such on the page,Experience
C-SQL,SQL-driven product and user-behavior analysis on a B2B fintech working-capital platform,STATED,Employment record; no public artifact,Experience
E-IDEM,"Database provisioning rewritten idempotent, four latent failure modes closed: 5,000 eng-hrs/yr, ~$300K, 2.5 FTEs",STATED,Employment record; derivation in GROUND_TRUTH.md,Experience; Hero; Projects
E-LIVEREC,Live CDC incremental-load failure diagnosed and restored in place under production pressure,STATED,Employment record; no public artifact,Experience
E-OBS,SSIS execution history rebuilt in SQL; control-table-driven validation making data drift alertable,STATED,Employment record; no public artifact,Experience
E-PTO,Payroll accrual defect root-caused in SQL and shipped to every client tenant through change-request review,STATED,Employment record; no public artifact,Experience
E-REPORTAUTO,"Git and Azure DevOps API workflows automated in Python: 15+ hrs/sprint, ~$23K/yr",STATED,Employment record; no public artifact,Experience
E-RETENTION,Change history recovered through fn_cdc_get_all_changes before the CDC retention window closed,STATED,Employment record; no public artifact,Experience
E-SECURE2,SECURE 2.0 retirement-plan compliance delivered against a legislated deadline,STATED,Employment record; no public artifact,Experience
E-SELFHEAL,"Self-healing monitoring for production SQL Agent jobs across missed, stuck, and silent failures",STATED,Employment record; no public artifact,Experience
E1-CDC,"CDC ETL from full reloads to idempotent incremental merge-upserts: 30 min to under 8, compute -67%, freshness SLA held",STATED,Employment record; no public artifact,Experience; Hero; Projects
E2-CICD,Release cycle 3 months to 14 days through end-to-end Azure DevOps ownership; ~11 weeks idle removed per release,STATED,Employment record; no public artifact,Experience; Projects
E3-FABRIC,"Reporting migrated to Microsoft Fabric semantic models with OLAP tuning: 12s to under 4s, support tickets -40%",STATED,Employment record; ticket derivation in GROUND_TRUTH.md,Experience; Projects
E5-RECOVERY,"CDC capture restored under one hour after an availability-group failover, on a documented runbook",STATED,Employment record; no public artifact,Experience; Projects
M1,Azure AI Anomaly Detector pipelines at 95%+ accuracy; production memory leak caught 4 hrs before outage,STATED,Employment record; no public artifact,Experience
M2,"Tunable per-service alert thresholds: ~250 weekly P3 alerts filtered, signal-to-noise 1:5 to 1:1.2",STATED,Employment record; no public artifact,Experience; Projects
M3,"Static D-series VMs to AKS with horizontal pod autoscaling: -$3,200/mo, CPU 12% to 64%",STATED,Employment record; no public artifact,Experience; Projects
M4,"NLP pipelines over 10,000+ reviews, published in the Journal of Nonprofit & Public Sector Marketing",DOC,DOI 10.1080/10495142.2025.2525123,Experience
P-FRAUD,"Fraud platform: P99 1.12ms at 100 TPS on 100,000 synthetic transactions with 2,034 labeled fraud",DOC,github.com/narendranathe/fraud-detection-ml-platform README + data generator,Experience
P-HOOKS,"repo-context-hooks: zero runtime dependencies, 330+ tests, Sigstore-signed releases, CodeQL on every PR",DOC,pypi.org/project/repo-context-hooks + pyproject.toml dependencies=[] + .github/workflows/,Experience; Hero
P-RISK,"Portfolio Risk Analytics: Kafka to Spark Structured Streaming on 5s tumbling windows with a 10s watermark, Delta bronze layer, FastAPI historical-simulation VaR at 95% and 99%",DOC,github.com/narendranathe/portfolio-risk-analytics src/. Architecture and method only. The throughput and latency figures are withheld under P-RISK-METRICS and absent from the page; the seeded API fallback is disclosed there.,Experience
U-BCP,Business continuity plan devised and executed to keep delivery cycles running through application downtime,DOC,2021 resume,Experience
U-FORECAST,"Demand-forecasting and inventory models in Power BI, Excel macros, Google Data Studio: allocation ROI +7%",STATED,Employment record; the dollar total is BLOCKED and absent,Experience
U-FULFILL,Statistical demand analysis for capacity planning: 99.3% order fulfillment sustained,STATED,Employment record; no public artifact,Experience
U-RCA,Root-cause analysis on recurring value-chain failures with process flows rewritten,DOC,2021 resume,Experience
Z-CAMPAIGN,Funnel instrumentation and A/B tests on campaign and discount strategy: campaign revenue +200%,STATED,Employment record; no public artifact,Experience
Z-COMP,Real-time competitor analytics platform: 9% market share gain in contested metros,STATED,Employment record; no public artifact,Experience
Z-DASH,"Central dashboard for category-level, city-wise launch percentage",STATED,Employment record; no public artifact,Experience
Z-ES,Elasticsearch index over 100K+ internal documents: support desk volume down ~80%,STATED,Employment record; no public artifact,Experience
Z-GROWTH,"14% compounded growth in one quarter, campaign coverage lifted to 70%",DOC,2021 resume,Experience
Z-LOYALTY,"200+ partners onboarded to a loyalty program, cutting discount burn 7% for that cohort",DOC,2021 resume,Experience
Z-PNL,Portfolio contribution from -18 to +2 rupees per order across 300 restaurants,DOC,2021 resume,Experience
Z-SEARCH,"Contextual signals supplied and evaluated for search ranking (analyst side, not model training)",STATED,Employment record; scope deliberately narrowed on the page,Experience
